customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
236.0,Tybalt,Gillingwater,Male,79.0,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14.0
237.0,Reginald,Dartan,Male,18.0,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,11.0
239.0,Wells,Pressman,Male,62.0,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3.0
240.0,Gavin,Fawks,Male,49.0,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0
241.0,Quillan,Duigan,Male,94.0,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,20.0
242.0,Taite,Droghan,Male,17.0,1992-03-20,Nurse,Property,Affluent Customer,N,No,8.0
243.0,Barbara,Croxley,Female,94.0,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,14.0
245.0,Noell,Grahlmans,Female,6.0,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1.0
246.0,Binny,Whight,Female,63.0,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,9.0
247.0,Kristal,Joysey,Female,62.0,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0
248.0,Inger,Eskell,Female,76.0,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0
249.0,D'arcy,Slay,Male,65.0,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,9.0
250.0,Kristofer,,Male,53.0,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,13.0
251.0,Mala,,Female,88.0,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0
252.0,Anthea,Ruskin,Female,39.0,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13.0
253.0,Amalee,Choak,Female,82.0,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,1.0
254.0,Barbie,Rubi,Female,98.0,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,14.0
255.0,Keeley,Kruger,Female,2.0,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,5.0
256.0,Linell,Beadle,Female,16.0,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,21.0
257.0,Marissa,,Female,70.0,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19.0
258.0,Othella,Keher,Female,24.0,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,9.0
259.0,Venita,Dymick,Female,70.0,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,3.0
260.0,Farand,Marriner,Female,47.0,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,22.0
263.0,Tonia,Leigh,Female,89.0,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,7.0
264.0,Jedd,Spiby,Male,31.0,1977-12-07,Technical Writer,Health,Mass Customer,N,No,11.0
265.0,Pennie,Stoile,Male,74.0,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,18.0
266.0,Lelia,Garatty,Female,69.0,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,18.0
268.0,Kacie,Kidston,Female,60.0,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,10.0
269.0,Zacherie,Grindley,Male,55.0,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,9.0
271.0,Doll,Burtwell,Female,51.0,1991-02-13,Financial Advisor,Financial Services,Mass Customer,N,No,4.0
272.0,Arlie,Crean,Female,22.0,1987-06-06,Product Engineer,Retail,Mass Customer,N,Yes,1.0
274.0,Tessi,Hesse,Female,66.0,1976-09-15,Social Worker,Health,Mass Customer,N,Yes,14.0
275.0,Dud,,Male,7.0,1955-07-27,VP Sales,Health,High Net Worth,N,No,13.0
279.0,Tamera,Hinckes,Female,49.49738219895288,1981-09-09,Web Designer I,Manufacturing,Mass Customer,N,No,11.0
281.0,Jeanette,Sizzey,Female,51.0,1972-12-27,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0
282.0,Lauren,Curcher,Male,82.0,1989-10-27,VP Quality Control,Argiculture,High Net Worth,N,Yes,11.0
283.0,Sari,Noye,Female,34.0,1991-02-04,Assistant Manager,Retail,Mass Customer,N,No,2.0
284.0,Seth,Moorman,Male,38.0,1986-04-11,Financial Analyst,Financial Services,High Net Worth,N,Yes,9.0
285.0,Julee,Janovsky,Female,3.0,1977-11-19,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12.0
286.0,Kiley,Canaan,Male,99.0,1989-08-01,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes,11.0
287.0,Hannie,Wodham,Female,41.0,1985-05-06,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,4.0
289.0,Modestia,Lithgow,Female,43.0,1970-04-12,Clinical Specialist,Health,High Net Worth,N,No,10.0
291.0,Aime,Burston,Female,63.0,1971-10-22,Assistant Media Planner,Entertainment,Mass Customer,N,No,4.0
293.0,Virgilio,Willcocks,Male,80.0,1989-12-10,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes,20.0
297.0,Cecile,MacLise,Female,33.0,1959-04-27,Electrical Engineer,Manufacturing,High Net Worth,N,No,16.0
298.0,Maurise,Lenglet,Male,69.0,1956-08-15,Engineer I,Manufacturing,High Net Worth,N,No,9.0
299.0,Corabelle,Hartnell,Female,80.0,1956-09-15,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes,7.0
300.0,Malachi,Hadcroft,Male,88.0,1956-06-22,Clinical Specialist,Health,Mass Customer,N,No,9.0
301.0,Hildy,Bilbrook,Female,54.0,1980-10-10,Developer IV,Manufacturing,High Net Worth,N,No,19.0
303.0,Shane,Smetoun,Female,59.0,1974-08-15,Assistant Professor,Argiculture,Mass Customer,N,Yes,14.0
304.0,Paddy,Mumbray,Male,36.0,1969-03-27,VP Marketing,Manufacturing,Mass Customer,N,Yes,15.0
305.0,Cris,Chellam,Female,1.0,1974-03-17,Financial Analyst,Financial Services,Mass Customer,N,No,11.0
306.0,Ruy,Adanet,Male,19.0,1973-08-02,Registered Nurse,Health,High Net Worth,N,No,18.0
307.0,Ruben,Handlin,Male,55.0,1984-08-18,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0
308.0,Iver,Dobsons,Male,2.0,1983-03-09,Database Administrator I,IT,High Net Worth,N,No,4.0
309.0,Maurizia,Ligerton,Female,53.0,1974-10-02,Clinical Specialist,Health,Mass Customer,N,Yes,21.0
310.0,Myranda,Clowser,Female,49.49738219895288,1985-02-13,Account Coordinator,Financial Services,Mass Customer,N,Yes,18.0
311.0,Jaimie,Halms,Female,86.0,1957-08-16,Internal Auditor,Health,High Net Worth,N,No,12.0
312.0,Garek,Prattin,Male,44.0,1958-03-17,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,6.0
313.0,Theo,McKune,Male,70.0,1987-12-22,Operator,Manufacturing,Mass Customer,N,Yes,13.0
314.0,Catie,Advani,Female,27.0,1962-08-25,Marketing Assistant,Retail,High Net Worth,N,Yes,5.0
